movieId,title,genres,Poster_URL
1,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy,https://image.tmdb.org/t/p/original/uXDfjJbdP4ijW5hWSBrPrlKpxab.jpg
2,Jumanji (1995),Adventure|Children|Fantasy,https://image.tmdb.org/t/p/original/vgpXmVaVyUL7GGiDeiK1mKEKzcX.jpg
3,Grumpier Old Men (1995),Comedy|Romance,https://image.tmdb.org/t/p/original/1FSXpj5e8l4KH6nVFO5SPUeraOt.jpg
4,Waiting to Exhale (1995),Comedy|Drama|Romance,https://image.tmdb.org/t/p/original/4wjGMwPsdlvi025ZqR4rXnFDvBz.jpg
5,Father of the Bride Part II (1995),Comedy,https://image.tmdb.org/t/p/original/rj4LBtwQ0uGrpBnCELr716Qo3mw.jpg
6,Heat (1995),Action|Crime|Thriller,https://image.tmdb.org/t/p/original/umSVjVdbVwtx5ryCA2QXL44Durm.jpg
7,Sabrina (1995),Comedy|Romance,https://image.tmdb.org/t/p/original/r8woenvB9eqnlgXDzSt3pWTfWzq.jpg
8,Tom and Huck (1995),Adventure|Children,https://image.tmdb.org/t/p/original/vIG8hWOa7DyLMRiurzKwVAnIYoU.jpg
9,Sudden Death (1995),Action,https://image.tmdb.org/t/p/original/1pylO6YX5XdOA6QCc5IRxrrffkg.jpg
10,GoldenEye (1995),Action|Adventure|Thriller,https://image.tmdb.org/t/p/original/z0ljRnNxIO7CRBhLEO0DvLgAFPR.jpg
11,"American President, The (1995)",Comedy|Drama|Romance,https://image.tmdb.org/t/p/original/yObOAYFIHXHkFPQ3jhgkN2ezaD.jpg
12,Dracula: Dead and Loving It (1995),Comedy|Horror,https://image.tmdb.org/t/p/original/4rRfZz8YnHNRr16t3CFcJrPdXHi.jpg
13,Balto (1995),Adventure|Animation|Children,https://image.tmdb.org/t/p/original/dCVcdb5oxDizqFLz0F7TE60NoC9.jpg
14,Nixon (1995),Drama,https://image.tmdb.org/t/p/original/cz2MTGr2wpDZLirgV2rGHBdA2t3.jpg
15,Cutthroat Island (1995),Action|Adventure|Romance,https://image.tmdb.org/t/p/original/hYdeBZ4BFXivdouxLfQGWNE6zRx.jpg
16,Casino (1995),Crime|Drama,https://image.tmdb.org/t/p/original/6zEZY1htzRos2w0W3T7o7W1WJhp.jpg
17,Sense and Sensibility (1995),Drama|Romance,https://image.tmdb.org/t/p/original/cBK2yL3HqhFvIVd7lLtazWlRZPR.jpg
18,Four Rooms (1995),Comedy,https://image.tmdb.org/t/p/original/75aHn1NOYXh4M7L5shoeQ6NGykP.jpg
19,Ace Ventura: When Nature Calls (1995),Comedy,https://image.tmdb.org/t/p/original/wcinCf1ov2D6M3P7BBZkzQFOiIb.jpg
20,Money Train (1995),Action|Comedy|Crime|Drama|Thriller,https://image.tmdb.org/t/p/original/jWBDz6Mf9aQVBiUS76JQsEhvoJl.jpg
21,Get Shorty (1995),Comedy|Crime|Thriller,https://image.tmdb.org/t/p/original/r82SdPhg4fnIcLt0ogIjQxqjdcO.jpg
22,Copycat (1995),Crime|Drama|Horror|Mystery|Thriller,https://image.tmdb.org/t/p/original/lKNjGQXTy5WkSjAtLzLzAN9IHCD.jpg
23,Assassins (1995),Action|Crime|Thriller,https://image.tmdb.org/t/p/original/kgqS4jn60E8UIExfceMUExB3ZKK.jpg
24,Powder (1995),Drama|Sci-Fi,https://image.tmdb.org/t/p/original/kImKATjY4EsK5MDgrmpJdGbQEbq.jpg
25,Leaving Las Vegas (1995),Drama|Romance,https://image.tmdb.org/t/p/original/nqc2LaUWB4ePf6IqpJ6D8apBDvn.jpg
26,Othello (1995),Drama,https://image.tmdb.org/t/p/original/nNP3FDHUIyztw5eq5AejZKzqXbz.jpg
27,Now and Then (1995),Children|Drama,https://image.tmdb.org/t/p/original/q31Ks8oAmM4Nq2CcGjyYYpdBAmh.jpg
28,Persuasion (1995),Drama|Romance,https://image.tmdb.org/t/p/original/10hycdhFLq3M3y0ONxIMSiY8Mrs.jpg
29,"City of Lost Children, The (Cité des enfants perdus, La) (1995)",Adventure|Drama|Fantasy|Mystery|Sci-Fi,https://image.tmdb.org/t/p/original/whwT3Q9JxbAYzEc3t7uYYcCbTMf.jpg
30,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),Crime|Drama,https://image.tmdb.org/t/p/original/tzG1UxUSfPACREjgBrsPDRUvneH.jpg
31,Dangerous Minds (1995),Drama,https://image.tmdb.org/t/p/original/yWHWC8fJRp2kLgiFrEa8o3krOH9.jpg
32,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Mystery|Sci-Fi|Thriller,https://image.tmdb.org/t/p/original/gt3iyguaCIw8DpQZI1LIN5TohM2.jpg
33,Wings of Courage (1995),Adventure|Romance|IMAX,https://image.tmdb.org/t/p/original/gA88wt3Rkk3YRc2phEcvlAzpQJG.jpg
34,Babe (1995),Children|Drama,https://image.tmdb.org/t/p/original/zKuQMtnbVTz9DsOnOJmlW71v4qH.jpg
35,Carrington (1995),Drama|Romance,https://image.tmdb.org/t/p/original/8NmeBTkC4UQa8XT2GGsBN2R8Bqo.jpg
36,Dead Man Walking (1995),Crime|Drama,https://image.tmdb.org/t/p/original/njn4FAjosndf9Y13zgflCK0DI9o.jpg
39,Clueless (1995),Comedy|Romance,https://image.tmdb.org/t/p/original/8AwVTcgpTnmeOs4TdTWqcFDXEsA.jpg
40,"Cry, the Beloved Country (1995)",Drama,https://image.tmdb.org/t/p/original/kGPsBswFOCjiGzXq4OZwzEAAODa.jpg
41,Richard III (1995),Drama|War,https://image.tmdb.org/t/p/original/cJYgc7UYfQE4EaKzR6Qwy3PF478.jpg
42,Dead Presidents (1995),Action|Crime|Drama,https://image.tmdb.org/t/p/original/wRLepMZoUCwjLFb1WSbuUT6uVWR.jpg
43,Restoration (1995),Drama,https://image.tmdb.org/t/p/original/z1YM3WFZnF2NwHT5IRGYUcvZBSl.jpg
44,Mortal Kombat (1995),Action|Adventure|Fantasy,https://image.tmdb.org/t/p/original/1eKWqTHp4OgKdx1QX1O9LxKHr1M.jpg
45,To Die For (1995),Comedy|Drama|Thriller,https://image.tmdb.org/t/p/original/aedhsShrlJVhLlwhtlmFJgR4Szs.jpg
46,How to Make an American Quilt (1995),Drama|Romance,https://image.tmdb.org/t/p/original/vwYRaERccwXWCYrTzeWRZRarJOo.jpg
47,Seven (a.k.a. Se7en) (1995),Mystery|Thriller,https://image.tmdb.org/t/p/original/516MFML05KWiPfiQNAsVCGMySc7.jpg
48,Pocahontas (1995),Animation|Children|Drama|Musical|Romance,https://image.tmdb.org/t/p/original/kZ1ft0QZ4e3zDUPMBftEkwI9ftd.jpg
49,When Night Is Falling (1995),Drama|Romance,https://image.tmdb.org/t/p/original/f9edMkT6bLXVvZICn47ARnQ1Iu5.jpg
